State,Code,POP_2012
Alabama,AL,4815588
Alaska,AK,730443
Arizona,AZ,6554978
Arkansas,AR,2952164
California,CA,37948800
Colorado,CO,5192647
Connecticut,CT,3594547
Delaware,DE,915179
District of Columbia,DC,634924
Florida,FL,19297822
Georgia,GA,9901430
Hawaii,HI,1394804
Idaho,ID,1595324
Illinois,IL,12882510
Indiana,IN,6537703
Iowa,IA,3076190
Kansas,KS,2885257
Kentucky,KY,4386346
Louisiana,LA,4600972
Maine,ME,1327729
Maryland,MD,5886992
Massachusetts,MA,6663005
Michigan,MI,9897145
Minnesota,MN,5376643
Mississippi,MS,2983816
Missouri,MO,6024367
Montana,MT,1003783
Nebraska,NE,1853303
Nevada,NV,2743996
New Hampshire,NH,1324232
New Jersey,NJ,8844942
New Mexico,NM,2087309
New York,NY,19572932
North Carolina,NC,9749476
North Dakota,ND,701176
Ohio,OH,11548923
Oklahoma,OK,3818814
Oregon,OR,3899001
Pennsylvania,PA,12767118
Rhode Island,RI,1054621
South Carolina,SC,4717354
South Dakota,SD,833566
Tennessee,TN,6453898
Texas,TX,26084481
Utah,UT,2853375
Vermont,VT,626090
Virginia,VA,8185080
Washington,WA,6897058
West Virginia,WV,1856872
Wisconsin,WI,5719960
Wyoming,WY,576305
